,title,author,url,category,id
159,The Customs and Traditions of the Aboriginal Natives of North Western Australia,John G. Withnell,https://sacred-texts.com/aus/cat/cat.htm,Australia,c
160,The Aborigines of Western Australia,Albert F. Calvert,https://sacred-texts.com/aus/awa/index.htm,Australia,awa
161,Some Myths and Legends of the Australian Aborigines,William Jenkyn Thomas,https://sacred-texts.com/aus/mla/index.htm,Australia,mla
162,Australian Legends,C.W Peck,https://sacred-texts.com/aus/peck/index.htm,Australia,peck
163,Legends and Popular Tales of the Basque People,Mariana Monteiro,https://sacred-texts.com/neu/basque/lbp/index.htm,Basque,basque/lbp
164,Basque Legends,Wentworth Webster,https://sacred-texts.com/neu/basque/bl/index.htm,Basque,basque/bl
165,The Kitab-i-Aqdas,none provided,https://sacred-texts.com/bhi/aqdas.htm,Baha’i,
166,The Kitab-i-Iqan (Book of Certitude),none provided,https://sacred-texts.com/bhi/iqa.htm,Baha’i,
167,Epistle to the Son of the Wolf,none provided,https://sacred-texts.com/bhi/esw.htm,Baha’i,
168,The Splendour of God,Eric Hammond,https://sacred-texts.com/bhi/sog/index.htm,Baha’i,sog
169,Selections from the Writings of the Bab,none provided,https://sacred-texts.com/bhi/bab/swb.txt,Baha’i,b
170,The Kitab-i-Aqdas (The Most Holy Book),none provided,https://sacred-texts.com/bhi/bahaullah/ka.txt,Baha’i,bahaul
171,Epistle to the Son of the Wolf,none provided,https://sacred-texts.com/bhi/bahaullah/esw.txt,Baha’i,bahaull
172,Gleanings from the Writings of Baha’u’llah,none provided,https://sacred-texts.com/bhi/bahaullah/gwb.txt,Baha’i,bahaull
173,The Hidden Words of Baha’u’llah,none provided,https://sacred-texts.com/bhi/bahaullah/hw.txt,Baha’i,bahaul
174,The Kitab-i-Iqan (The Book of Certitude),none provided,https://sacred-texts.com/bhi/bahaullah/iqa.txt,Baha’i,bahaull
175,Prayers and Meditations,none provided,https://sacred-texts.com/bhi/bahaullah/pm.txt,Baha’i,bahaul
176,Proclamation of Baha’u’llah,none provided,https://sacred-texts.com/bhi/bahaullah/pb.txt,Baha’i,bahaul
177,The Seven Valleys and the Four Valleys,none provided,https://sacred-texts.com/bhi/bahaullah/svfv01.txt,Baha’i,bahaullah/
178,Tablets of Baha’u’llah Revealed after the Kitab-i-Aqdas,none provided,https://sacred-texts.com/bhi/bahaullah/tb02.txt,Baha’i,bahaulla
179,Abdu’l-Baha in London,none provided,https://sacred-texts.com/bhi/abdulbaha/abl.txt,Baha’i,abdulba
180,Foundations of World Unity,none provided,https://sacred-texts.com/bhi/abdulbaha/fwu.txt,Baha’i,abdulba
181,Memorials of the Faithful,none provided,https://sacred-texts.com/bhi/abdulbaha/mf.txt,Baha’i,abdulb
182,Paris Talks,none provided,https://sacred-texts.com/bhi/abdulbaha/pt.txt,Baha’i,abdulb
183,The Promulgation of Universal Peace,none provided,https://sacred-texts.com/bhi/abdulbaha/pup01.txt,Baha’i,abdulbaha
184,The Secret of Divine Civilization,none provided,https://sacred-texts.com/bhi/abdulbaha/sdc01.txt,Baha’i,abdulbaha
185,Selections from the Writings of `Abdu’l-Baha,none provided,https://sacred-texts.com/bhi/abdulbaha/swab.txt,Baha’i,abdulbah
186,Some Answered Questions,none provided,https://sacred-texts.com/bhi/abdulbaha/saq01.txt,Baha’i,abdulbaha
187,Tablets of ‘Abdu’l-Baha,none provided,https://sacred-texts.com/bhi/abdulbaha/tab03.txt,Baha’i,abdulbaha
188,Tablet to August Forel,none provided,https://sacred-texts.com/bhi/abdulbaha/taf.txt,Baha’i,abdulba
189,Tablets of the Divine Plan,none provided,https://sacred-texts.com/bhi/abdulbaha/tdp01.txt,Baha’i,abdulbaha
190,A Travellers Narrative,none provided,https://sacred-texts.com/bhi/abdulbaha/tn.txt,Baha’i,abdulb
191,The Will and Testament of ‘Abdu’l-Baha,none provided,https://sacred-texts.com/bhi/abdulbaha/wt.txt,Baha’i,abdulb
192,The Advent of Divine Justice,none provided,https://sacred-texts.com/bhi/shogi/adj.txt,Baha’i,sho
193,Arohanui: Letters to New Zealand,none provided,https://sacred-texts.com/bhi/shogi/aro.txt,Baha’i,sho
194,Baha’i Administration,none provided,https://sacred-texts.com/bhi/shogi/ba.txt,Baha’i,sh
195,Citadel of Faith,none provided,https://sacred-texts.com/bhi/shogi/cf.txt,Baha’i,sh
196,The Dawn of a New Day,none provided,https://sacred-texts.com/bhi/shogi/dnd.txt,Baha’i,sho
197,Directives from the Guardian,none provided,https://sacred-texts.com/bhi/shogi/dg.txt,Baha’i,sh
198,God Passes By,none provided,https://sacred-texts.com/bhi/shogi/gpb.txt,Baha’i,sho
199,High Endeavours: Messages to Alaska,none provided,https://sacred-texts.com/bhi/shogi/he.txt,Baha’i,sh
200,Letters from the Guardian to Australia and New Zealand,none provided,https://sacred-texts.com/bhi/shogi/lganz.txt,Baha’i,shogi
201,The Light of Divine Guidance (volume 1) [Message to Germany and Austria],none provided,https://sacred-texts.com/bhi/shogi/ldg1.txt,Baha’i,shog
202,The Light of Divine Guidance (volume 2),none provided,https://sacred-texts.com/bhi/shogi/ldg2.txt,Baha’i,shog
203,Messages to America,none provided,https://sacred-texts.com/bhi/shogi/ma.txt,Baha’i,sh
204,The Promised Day is Come,none provided,https://sacred-texts.com/bhi/shogi/pdc.txt,Baha’i,sho
205,Unfolding Destiny,none provided,https://sacred-texts.com/bhi/shogi/ud.txt,Baha’i,sh
206,The World Order of Baha’u’llah,none provided,https://sacred-texts.com/bhi/shogi/wob.txt,Baha’i,sho
207,Baha’u’llah and the New Era,Esslemont,https://sacred-texts.com/bhi/other/bne.txt,Baha’i,oth
208,The Dawn Breakers,Nabil,https://sacred-texts.com/bhi/other/db.txt,Baha’i,ot
209,Footnotes to French ed. of The Dawn Breakers,none provided,https://sacred-texts.com/bhi/other/dbfns.txt,Baha’i,other
210,The Prosperity of Humankind,none provided,https://sacred-texts.com/bhi/other/prh.txt,Baha’i,oth
211,Statement on Baha’u’llah,none provided,https://sacred-texts.com/bhi/other/sb.txt,Baha’i,ot
212,The Promise of World Peace,none provided,https://sacred-texts.com/bhi/hoj/prom.txt,Baha’i,ho
213,Baha’i Prayers,none provided,https://sacred-texts.com/bhi/comp/bp06.txt,Baha’i,com
214,Baha’i World Faith,none provided,https://sacred-texts.com/bhi/comp/bwf.txt,Baha’i,co
215,Baha’i Education,none provided,https://sacred-texts.com/bhi/comp/edu.txt,Baha’i,co
216,Japan Will Turn Ablaze,none provided,https://sacred-texts.com/bhi/comp/jwta.txt,Baha’i,com
217,Peace,none provided,https://sacred-texts.com/bhi/comp/peace.txt,Baha’i,comp
218,Scholarship,none provided,https://sacred-texts.com/bhi/comp/sch.txt,Baha’i,co
219,Women,none provided,https://sacred-texts.com/bhi/comp/women.txt,Baha’i,comp
220,King James Version,none provided,https://sacred-texts.com/bib/kjv/index.htm,Bible,kjv
221,the Tanakh,none provided,https://sacred-texts.com/bib/tan/index.htm,Bible,tan
222,The Apocrypha,none provided,https://sacred-texts.com/bib/apo/index.htm,Bible,apo
223,Vulgate,none provided,https://sacred-texts.com/bib/vul/index.htm,Bible,vul
224,The Septuagint,none provided,https://sacred-texts.com/bib/sep/index.htm,Bible,sep
225,Greek New Testament,none provided,https://sacred-texts.com/bib/gnt/index.htm,Bible,gnt
226,the Polyglot Bible,none provided,https://sacred-texts.com/bib/poly/index.htm,Bible,poly
227,Easton’s Bible Dictionary,none provided,https://archive.sacred-texts.com/bib/ebd/index.htm,Bible,com/bib/ebd
228,Bible Maps,none provided,https://archive.sacred-texts.com/bib/maps/index.htm,Bible,com/bib/maps
229,,"Rutherford H. Platt, Jr.",https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
230,,"Rutherford H. Platt, Jr.",https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
231,The Chronicles of Jerahmeel,Moses Gaster,https://archive.sacred-texts.com/bib/coj/index.htm,Bible,com/bib/coj
232,,M. R. James,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
233,,R.H. Charles,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
234,,Richard Laurence,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
235,,R.H. Charles,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
236,,Hermann Gunkel,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
237,,Thomas Jefferson,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
238,The Holy Scriptures,Jewish Publication Society,https://archive.sacred-texts.com/bib/jps/index.htm,Bible,com/bib/jps
239,,Arthur Hinds,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
240,The Biography of the Bible,Ernest Sutherland Bates,https://archive.sacred-texts.com/bib/biob/index.htm,Bible,com/bib/biob
241,,none provided,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
242,,none provided,https://archive.sacred-texts.com/bib/index.htm#,Bible,com/bib/
243,The Gospel of Buddha: Compiled from Ancient Records,Paul Carus,https://sacred-texts.com/bud/btg/index.htm,Buddhism,btg
244,"Buddha, the Word",Paul Carus,https://sacred-texts.com/bud/buddha2.htm,Buddhism,b
245,Amitabha,Paul Carus,https://sacred-texts.com/bud/ami/index.htm,Buddhism,ami
246,The Buddhist Catechism,Henry S. Olcott,https://sacred-texts.com/bud/tbc/index.htm,Buddhism,tbc
247,The Creed of Buddha,Edmond Holmes,https://sacred-texts.com/bud/cob/index.htm,Buddhism,cob
248,The Life of Buddha,Andre Ferdinand Herold,https://sacred-texts.com/bud/lob/index.htm,Buddhism,lob
249,A Buddhist Bible,Dwight Goddard,https://sacred-texts.com/bud/bb/index.htm,Buddhism,bb
250,The Smokey the Bear Sutra,Gary Snyder,https://sacred-texts.com/bud/bear.htm,Buddhism,
251,"The Dhammapada and The Sutta Nipâta (SBE10),",Max Müller,https://sacred-texts.com/bud/sbe10/index.htm,Buddhism,sbe10
252,Buddhist Suttas (SBE11),T.W. Rhys Davids,https://sacred-texts.com/bud/sbe11/index.htm,Buddhism,sbe11
